record_id,timestamp,motor_id,rpm,temperature_c,vibration_mm_s,current_a,fault_label,severity,work_order,maintenance_report,model,temperature,top_p,prompt_template,validation_status
19,2026-01-05T12:00:00,MTR-1018,1279,52.3,5.3,93.8,Sobrecorrente por atrito mecânico,alta,WO-20260018,"Inspeção do motor MTR-1018: temperatura 52.3°C, vibração 5.3 mm/s, corrente 93.8 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.2,0.85,few_shot_os_v2,aprovado
20,2026-01-05T18:00:00,MTR-1019,1522,50.6,6.69,20.5,Operação normal,baixa,WO-20260019,"Inspeção do motor MTR-1019: temperatura 50.6°C, vibração 6.69 mm/s, corrente 20.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.85,roleplay_engineer_v1,aprovado
21,2026-01-06T00:00:00,MTR-1020,3451,55.7,7.16,63.5,Operação normal,baixa,WO-20260020,"Inspeção do motor MTR-1020: temperatura 55.7°C, vibração 7.16 mm/s, corrente 63.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.95,few_shot_os_v2,aprovado
22,2026-01-06T06:00:00,MTR-1021,2476,70.9,8.79,44.9,Operação normal,baixa,WO-20260021,"Inspeção do motor MTR-1021: temperatura 70.9°C, vibração 8.79 mm/s, corrente 44.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.85,few_shot_os_v2,aprovado
23,2026-01-06T12:00:00,MTR-1022,2120,49.2,1.44,59.3,Operação normal,baixa,WO-20260022,"Inspeção do motor MTR-1022: temperatura 49.2°C, vibração 1.44 mm/s, corrente 59.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.85,zero_shot_diag_v1,aprovado
24,2026-01-06T18:00:00,MTR-1023,1441,59.9,11.43,83.8,Desbalanceamento de rotor,alta,WO-20260023,"Inspeção do motor MTR-1023: temperatura 59.9°C, vibração 11.43 mm/s, corrente 83.8 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.85,cot_analysis_v1,aprovado
25,2026-01-07T00:00:00,MTR-1024,2077,80.1,9.37,85.6,Sobrecorrente por atrito mecânico,alta,WO-20260024,"Inspeção do motor MTR-1024: temperatura 80.1°C, vibração 9.37 mm/s, corrente 85.6 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.85,roleplay_engineer_v1,aprovado
26,2026-01-07T06:00:00,MTR-1000,1979,51.1,8.65,43.3,Operação normal,baixa,WO-20260025,"Inspeção do motor MTR-1000: temperatura 51.1°C, vibração 8.65 mm/s, corrente 43.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,zero_shot_diag_v1,aprovado
27,2026-01-07T12:00:00,MTR-1001,1603,48.9,9.43,79.0,Operação normal,baixa,WO-20260026,"Inspeção do motor MTR-1001: temperatura 48.9°C, vibração 9.43 mm/s, corrente 79.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.85,few_shot_os_v2,aprovado
28,2026-01-07T18:00:00,MTR-1002,3396,74.2,5.97,37.3,Operação normal,baixa,WO-20260027,"Inspeção do motor MTR-1002: temperatura 74.2°C, vibração 5.97 mm/s, corrente 37.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,zero_shot_diag_v1,aprovado
29,2026-01-08T00:00:00,MTR-1003,1407,87.4,7.31,16.2,Operação normal,baixa,WO-20260028,"Inspeção do motor MTR-1003: temperatura 87.4°C, vibração 7.31 mm/s, corrente 16.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.85,roleplay_engineer_v1,aprovado
30,2026-01-08T06:00:00,MTR-1004,3189,76.3,10.97,87.2,Sobrecorrente por atrito mecânico,alta,WO-20260029,"Inspeção do motor MTR-1004: temperatura 76.3°C, vibração 10.97 mm/s, corrente 87.2 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.4,0.85,roleplay_engineer_v1,aprovado
31,2026-01-08T12:00:00,MTR-1005,3063,63.5,9.07,73.4,Operação normal,baixa,WO-20260030,"Inspeção do motor MTR-1005: temperatura 63.5°C, vibração 9.07 mm/s, corrente 73.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,roleplay_engineer_v1,aprovado
32,2026-01-08T18:00:00,MTR-1006,1834,57.3,3.66,19.7,Operação normal,baixa,WO-20260031,"Inspeção do motor MTR-1006: temperatura 57.3°C, vibração 3.66 mm/s, corrente 19.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.85,cot_analysis_v1,aprovado
33,2026-01-09T00:00:00,MTR-1007,1434,48.3,6.59,88.6,Sobrecorrente por atrito mecânico,alta,WO-20260032,"Inspeção do motor MTR-1007: temperatura 48.3°C, vibração 6.59 mm/s, corrente 88.6 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.85,zero_shot_diag_v1,aprovado
34,2026-01-09T06:00:00,MTR-1008,1480,83.7,8.83,33.8,Operação normal,baixa,WO-20260033,"Inspeção do motor MTR-1008: temperatura 83.7°C, vibração 8.83 mm/s, corrente 33.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.85,zero_shot_diag_v1,aprovado
35,2026-01-09T12:00:00,MTR-1009,1535,72.2,7.8,56.8,Operação normal,baixa,WO-20260034,"Inspeção do motor MTR-1009: temperatura 72.2°C, vibração 7.8 mm/s, corrente 56.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.95,cot_analysis_v1,aprovado
36,2026-01-09T18:00:00,MTR-1010,2177,62.3,2.68,66.6,Operação normal,baixa,WO-20260035,"Inspeção do motor MTR-1010: temperatura 62.3°C, vibração 2.68 mm/s, corrente 66.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.85,zero_shot_diag_v1,aprovado
37,2026-01-10T00:00:00,MTR-1011,3077,85.4,7.56,23.0,Operação normal,baixa,WO-20260036,"Inspeção do motor MTR-1011: temperatura 85.4°C, vibração 7.56 mm/s, corrente 23.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,cot_analysis_v1,aprovado
38,2026-01-10T06:00:00,MTR-1012,1742,105.7,11.15,85.3,Sobreaquecimento com desalinhamento,alta,WO-20260037,"Inspeção do motor MTR-1012: temperatura 105.7°C, vibração 11.15 mm/s, corrente 85.3 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.85,roleplay_engineer_v1,aprovado
39,2026-01-10T12:00:00,MTR-1013,2439,84.8,12.36,67.3,Desbalanceamento de rotor,alta,WO-20260038,"Inspeção do motor MTR-1013: temperatura 84.8°C, vibração 12.36 mm/s, corrente 67.3 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.95,cot_analysis_v1,aprovado
40,2026-01-10T18:00:00,MTR-1014,1624,106.0,2.72,24.2,Operação normal,baixa,WO-20260039,"Inspeção do motor MTR-1014: temperatura 106.0°C, vibração 2.72 mm/s, corrente 24.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.95,few_shot_os_v2,aprovado
41,2026-01-11T00:00:00,MTR-1015,2315,63.3,3.58,42.4,Operação normal,baixa,WO-20260040,"Inspeção do motor MTR-1015: temperatura 63.3°C, vibração 3.58 mm/s, corrente 42.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,roleplay_engineer_v1,aprovado
42,2026-01-11T06:00:00,MTR-1016,2228,103.8,10.76,22.4,Sobreaquecimento com desalinhamento,alta,WO-20260041,"Inspeção do motor MTR-1016: temperatura 103.8°C, vibração 10.76 mm/s, corrente 22.4 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.85,zero_shot_diag_v1,aprovado
43,2026-01-11T12:00:00,MTR-1017,1735,86.4,4.16,74.3,Operação normal,baixa,WO-20260042,"Inspeção do motor MTR-1017: temperatura 86.4°C, vibração 4.16 mm/s, corrente 74.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,zero_shot_diag_v1,aprovado
44,2026-01-11T18:00:00,MTR-1018,1658,49.9,11.18,87.3,Sobrecorrente por atrito mecânico,alta,WO-20260043,"Inspeção do motor MTR-1018: temperatura 49.9°C, vibração 11.18 mm/s, corrente 87.3 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.9,few_shot_os_v2,aprovado
45,2026-01-12T00:00:00,MTR-1019,1371,65.0,11.36,78.7,Desbalanceamento de rotor,alta,WO-20260044,"Inspeção do motor MTR-1019: temperatura 65.0°C, vibração 11.36 mm/s, corrente 78.7 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.4,0.85,few_shot_os_v2,aprovado
46,2026-01-12T06:00:00,MTR-1020,2648,95.7,11.19,47.5,Sobreaquecimento com desalinhamento,alta,WO-20260045,"Inspeção do motor MTR-1020: temperatura 95.7°C, vibração 11.19 mm/s, corrente 47.5 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.7,0.85,few_shot_os_v2,aprovado
47,2026-01-12T12:00:00,MTR-1021,1925,102.3,1.48,73.9,Operação normal,baixa,WO-20260046,"Inspeção do motor MTR-1021: temperatura 102.3°C, vibração 1.48 mm/s, corrente 73.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,few_shot_os_v2,aprovado
48,2026-01-12T18:00:00,MTR-1022,2292,55.3,9.12,45.6,Operação normal,baixa,WO-20260047,"Inspeção do motor MTR-1022: temperatura 55.3°C, vibração 9.12 mm/s, corrente 45.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.4,0.85,few_shot_os_v2,aprovado
49,2026-01-13T00:00:00,MTR-1023,3085,67.7,10.47,84.7,Desbalanceamento de rotor,alta,WO-20260048,"Inspeção do motor MTR-1023: temperatura 67.7°C, vibração 10.47 mm/s, corrente 84.7 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.2,0.95,few_shot_os_v2,aprovado
50,2026-01-13T06:00:00,MTR-1024,2341,101.2,12.13,37.3,Sobreaquecimento com desalinhamento,alta,WO-20260049,"Inspeção do motor MTR-1024: temperatura 101.2°C, vibração 12.13 mm/s, corrente 37.3 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.7,0.9,cot_analysis_v1,aprovado
51,2026-01-13T12:00:00,MTR-1000,1672,102.0,4.15,61.4,Operação normal,baixa,WO-20260050,"Inspeção do motor MTR-1000: temperatura 102.0°C, vibração 4.15 mm/s, corrente 61.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.85,roleplay_engineer_v1,aprovado
52,2026-01-13T18:00:00,MTR-1001,2615,92.4,4.74,63.5,Operação normal,baixa,WO-20260051,"Inspeção do motor MTR-1001: temperatura 92.4°C, vibração 4.74 mm/s, corrente 63.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.9,few_shot_os_v2,aprovado
53,2026-01-14T00:00:00,MTR-1002,2243,47.9,6.13,56.6,Operação normal,baixa,WO-20260052,"Inspeção do motor MTR-1002: temperatura 47.9°C, vibração 6.13 mm/s, corrente 56.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,few_shot_os_v2,aprovado
54,2026-01-14T06:00:00,MTR-1003,2691,73.0,11.92,88.7,Sobrecorrente por atrito mecânico,alta,WO-20260053,"Inspeção do motor MTR-1003: temperatura 73.0°C, vibração 11.92 mm/s, corrente 88.7 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.95,zero_shot_diag_v1,aprovado
55,2026-01-14T12:00:00,MTR-1004,2430,78.0,8.74,41.1,Operação normal,baixa,WO-20260054,"Inspeção do motor MTR-1004: temperatura 78.0°C, vibração 8.74 mm/s, corrente 41.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.95,few_shot_os_v2,aprovado
56,2026-01-14T18:00:00,MTR-1005,1985,72.3,11.83,69.2,Desbalanceamento de rotor,alta,WO-20260055,"Inspeção do motor MTR-1005: temperatura 72.3°C, vibração 11.83 mm/s, corrente 69.2 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.95,cot_analysis_v1,aprovado
57,2026-01-15T00:00:00,MTR-1006,1201,64.8,3.58,77.9,Operação normal,baixa,WO-20260056,"Inspeção do motor MTR-1006: temperatura 64.8°C, vibração 3.58 mm/s, corrente 77.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,roleplay_engineer_v1,aprovado
58,2026-01-15T06:00:00,MTR-1007,3009,73.7,3.61,52.9,Operação normal,baixa,WO-20260057,"Inspeção do motor MTR-1007: temperatura 73.7°C, vibração 3.61 mm/s, corrente 52.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,zero_shot_diag_v1,aprovado
59,2026-01-15T12:00:00,MTR-1008,2362,78.5,8.35,41.8,Operação normal,baixa,WO-20260058,"Inspeção do motor MTR-1008: temperatura 78.5°C, vibração 8.35 mm/s, corrente 41.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.9,few_shot_os_v2,aprovado
60,2026-01-15T18:00:00,MTR-1009,2015,54.6,1.72,93.7,Sobrecorrente por atrito mecânico,alta,WO-20260059,"Inspeção do motor MTR-1009: temperatura 54.6°C, vibração 1.72 mm/s, corrente 93.7 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.9,roleplay_engineer_v1,aprovado
61,2026-01-16T00:00:00,MTR-1010,3557,57.6,9.07,54.6,Operação normal,baixa,WO-20260060,"Inspeção do motor MTR-1010: temperatura 57.6°C, vibração 9.07 mm/s, corrente 54.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.95,zero_shot_diag_v1,aprovado
62,2026-01-16T06:00:00,MTR-1011,1636,95.6,3.67,79.3,Operação normal,baixa,WO-20260061,"Inspeção do motor MTR-1011: temperatura 95.6°C, vibração 3.67 mm/s, corrente 79.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,zero_shot_diag_v1,aprovado
63,2026-01-16T12:00:00,MTR-1012,3483,61.2,10.79,51.5,Desbalanceamento de rotor,alta,WO-20260062,"Inspeção do motor MTR-1012: temperatura 61.2°C, vibração 10.79 mm/s, corrente 51.5 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.7,0.95,cot_analysis_v1,aprovado
64,2026-01-16T18:00:00,MTR-1013,3012,84.8,9.33,55.4,Operação normal,baixa,WO-20260063,"Inspeção do motor MTR-1013: temperatura 84.8°C, vibração 9.33 mm/s, corrente 55.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.85,roleplay_engineer_v1,aprovado
65,2026-01-17T00:00:00,MTR-1014,3043,61.8,3.99,66.0,Operação normal,baixa,WO-20260064,"Inspeção do motor MTR-1014: temperatura 61.8°C, vibração 3.99 mm/s, corrente 66.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.95,few_shot_os_v2,aprovado
66,2026-01-17T06:00:00,MTR-1015,2324,73.6,9.26,33.8,Operação normal,baixa,WO-20260065,"Inspeção do motor MTR-1015: temperatura 73.6°C, vibração 9.26 mm/s, corrente 33.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,zero_shot_diag_v1,aprovado
67,2026-01-17T12:00:00,MTR-1016,1766,54.8,5.53,27.2,Operação normal,baixa,WO-20260066,"Inspeção do motor MTR-1016: temperatura 54.8°C, vibração 5.53 mm/s, corrente 27.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,roleplay_engineer_v1,aprovado
68,2026-01-17T18:00:00,MTR-1017,2555,80.3,5.9,31.5,Operação normal,baixa,WO-20260067,"Inspeção do motor MTR-1017: temperatura 80.3°C, vibração 5.9 mm/s, corrente 31.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,zero_shot_diag_v1,aprovado
69,2026-01-18T00:00:00,MTR-1018,3558,69.7,1.27,43.1,Operação normal,baixa,WO-20260068,"Inspeção do motor MTR-1018: temperatura 69.7°C, vibração 1.27 mm/s, corrente 43.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,few_shot_os_v2,aprovado
70,2026-01-18T06:00:00,MTR-1019,3199,59.3,6.12,17.3,Operação normal,baixa,WO-20260069,"Inspeção do motor MTR-1019: temperatura 59.3°C, vibração 6.12 mm/s, corrente 17.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,roleplay_engineer_v1,aprovado
71,2026-01-18T12:00:00,MTR-1020,1876,99.6,11.59,93.5,Sobreaquecimento com desalinhamento,alta,WO-20260070,"Inspeção do motor MTR-1020: temperatura 99.6°C, vibração 11.59 mm/s, corrente 93.5 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.9,zero_shot_diag_v1,aprovado
72,2026-01-18T18:00:00,MTR-1021,2955,53.8,6.42,19.0,Operação normal,baixa,WO-20260071,"Inspeção do motor MTR-1021: temperatura 53.8°C, vibração 6.42 mm/s, corrente 19.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.85,roleplay_engineer_v1,aprovado
73,2026-01-19T00:00:00,MTR-1022,2538,66.9,11.14,37.3,Desbalanceamento de rotor,alta,WO-20260072,"Inspeção do motor MTR-1022: temperatura 66.9°C, vibração 11.14 mm/s, corrente 37.3 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.85,roleplay_engineer_v1,revisar
74,2026-01-19T06:00:00,MTR-1023,3409,48.4,11.96,32.9,Desbalanceamento de rotor,alta,WO-20260073,"Inspeção do motor MTR-1023: temperatura 48.4°C, vibração 11.96 mm/s, corrente 32.9 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.85,zero_shot_diag_v1,aprovado
75,2026-01-19T12:00:00,MTR-1024,2016,99.5,8.22,34.1,Sobreaquecimento com desalinhamento,alta,WO-20260074,"Inspeção do motor MTR-1024: temperatura 99.5°C, vibração 8.22 mm/s, corrente 34.1 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.7,0.85,few_shot_os_v2,aprovado
76,2026-01-19T18:00:00,MTR-1000,2249,94.8,3.1,63.6,Operação normal,baixa,WO-20260075,"Inspeção do motor MTR-1000: temperatura 94.8°C, vibração 3.1 mm/s, corrente 63.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.85,few_shot_os_v2,aprovado
